label,pixels_28668,pixels_32764
220.0_-1.5,243907864,225421489
36.1_-28.2,248079413,238902597
356.5_-31.2,247452158,225128074
358.8_-35.1,239296864,234934624
15.3_-32.1,236212256,225189422
49.5_-30.2,244510380,227043101
354.1_-33.1,240060962,223199136
173.0_-0.5,196996192,185971516
331.5_-33.1,201066489,180565237
224.0_0.5,220635212,197695225
34.5_-33.1,228987633,221850756
214.6_-2.5,216933773,199875083
182.0_-1.5,254366121,239927747
215.0_-0.5,234736555,215013622
167.0_0.5,179472692,170738831
47.1_-32.1,242330880,229381415
6.9_-30.2,239902719,231592457
132.0_-1.5,208296595,189301281
53.3_-26.2,0,0
164.0_1.5,248289108,238857728
165.0_-0.5,253320182,238517731
20.2_-33.1,232282640,224258970
170.0_1.5,235994373,226478934
331.5_-29.2,213904672,199333241
222.6_2.5,227063396,211233985
137.0_-0.5,224561250,201841592
41.4_-30.2,223411966,207302939
181.0_-0.5,240761867,235384626
235.0_1.5,238926169,220827171
185.0_0.5,245277964,232562907
172.5_2.5,222015283,213774717
232.0_1.5,207941123,190768771
49.9_-33.1,243676711,226966904
52.3_-35.1,233179985,225052676
42.0_-34.1,234754459,218004703
46.6_-31.2,238373679,227035154
343.7_-31.2,219117005,206538655
225.0_0.5,235145922,224995213
226.0_1.5,227689143,215157884
329.6_-35.1,36768005,35334625
161.0_-1.5,230208616,214472805
158.0_-0.5,241542783,226004927
334.9_-29.2,199522389,186060980
12.8_-31.2,237647353,233738227
228.0_1.5,229606359,214612885
42.8_-33.1,244272703,230221669
1.2_-33.1,229069067,217353302
29.9_-30.2,225042862,208658748
336.1_-29.2,235971362,226879786
158.4_2.5,219170018,210779442
330.8_-27.2,161811202,157263555
350.9_-29.2,233569023,218747622
8.1_-30.2,244944797,236434092
355.4_-30.2,243981512,232248170
11.3_-28.2,229281795,218117997
136.4_2.5,212378885,200474927
219.0_-1.5,255034973,245859690
204.0_-1.5,243195172,234778300
211.0_-0.5,230874967,217446542
204.6_-2.5,240889244,226264792
349.3_-33.1,239632594,227864963
340.8_-28.2,233843740,214140290
32.1_-33.1,245976279,240920966
133.0_-0.5,192992148,167361090
183.0_-1.5,233344940,227804381
342.0_-34.1,224058275,205391963
213.0_1.5,226270943,212926352
38.8_-32.1,233183579,216345771
334.4_-31.2,223015726,207356196
203.6_2.5,232796022,222256092
141.0_0.5,229889337,203975758
349.1_-35.1,247925717,234311376
334.1_-32.1,217581663,204829672
336.0_-34.1,213598126,199369378
11.9_-33.1,223652442,218125489
141.0_-1.5,221276140,203325125
349.2_-34.1,218709132,205595724
36.8_-30.2,240680715,222977542
332.0_-27.2,174806897,159267841
46.0_-30.2,236948257,222367756
184.5_2.5,230641856,223210124
5.7_-29.2,231929629,215492969
209.0_-0.5,240446007,227753506
18.8_-32.1,244769345,237834188
233.0_0.5,220864862,202671435
209.0_-1.5,213883781,200396316
189.5_2.5,242529305,239089534
190.0_-0.5,237238413,227076932
187.0_1.5,226845908,218091055
223.0_1.5,239815949,225017900
193.0_0.5,226558490,216657412
38.7_-29.2,224768918,213883701
138.0_1.5,201624892,187867921
338.1_-30.2,218634107,202674263
340.6_-29.2,214212957,206621450
201.0_0.5,250406528,246190190
21.6_-34.1,230585679,218369048
7.1_-32.1,221995963,219147186
232.0_0.5,228628407,211657546
354.3_-29.2,231240999,220138908
357.6_-35.1,230527938,219592577
235.0_-0.5,216541630,192250974
196.0_-0.5,238312231,223285265
50.8_-28.2,226781376,216817370
202.6_-2.5,234741359,225626778
358.8_-34.1,231571251,221534682
358.9_-28.2,216030575,208955070
173.5_-2.5,233796496,222001523
180.5_2.5,235031386,212937085
39.9_-29.2,231574184,222037266
47.4_-28.2,235950802,223440253
345.6_-34.1,231431070,215033036
201.0_-0.5,241313854,228212455
343.0_-35.1,226335667,210005513
230.0_-1.5,235978848,223205202
35.3_-29.2,234213761,227246611
183.0_-0.5,245564564,228603363
165.0_-1.5,256989872,246689885
140.0_-0.5,204588250,187032024
38.4_-31.2,232689597,211967217
0.0_-35.1,231962522,221486368
334.2_-27.2,167618869,160035121
228.6_2.5,9422309,8206312
199.0_-0.5,241261715,235898867
49.2_-34.1,238222658,224115422
131.4_2.5,196676176,188920190
223.0_-0.5,219445562,203464089
31.8_-32.1,220322281,205848024
188.5_2.5,235218711,220682756
50.5_-27.2,178131072,168540220
30.3_-31.2,244316309,237573012
33.8_-31.2,219666415,209942205
202.6_2.5,213860524,210430298
218.6_2.5,229068092,215109505
37.2_-34.1,209204488,197439247
209.6_2.5,231703462,223285739
18.0_-34.1,216978355,211041472
173.5_2.5,235969546,220170876
231.0_-1.5,220887958,199462985
351.5_-35.1,228315622,215223931
205.0_-1.5,240410526,229316948
337.0_-30.2,233803415,217639813
337.9_-31.2,223200496,210789010
24.5_-31.2,248323582,231720390
219.0_-0.5,231330215,223026278
175.0_0.5,247861627,239721262
341.6_-30.2,236812254,224114543
34.5_-30.2,235208484,228596322
46.8_-34.1,242549048,229154582
24.0_-34.1,242161887,236084855
39.6_-31.2,239513106,232724611
44.0_-33.1,226075638,219002764
1.2_-34.1,239601667,227157354
233.6_2.5,13200322,12888512
236.0_0.5,187678807,170698714
23.0_-30.2,227171705,224266358
181.0_1.5,228724639,216185708
355.2_-34.1,237008524,227441625
16.6_-33.1,235649769,225365719
3.6_-34.1,249005212,241162932
180.5_-2.5,234894002,223435486
332.0_-31.2,217909939,206557162
28.8_-30.2,238179148,230173173
232.6_2.5,13202962,10078618
229.0_0.5,213242888,198503180
347.8_-35.1,240253197,229927221
