label,dseeing_ori,dseeing_corr,dbeta_ori,dbeta_corr
209.0_-0.5,0.041393884399188965,0.0048537481044805516,0.08732816122384432,0.019330183684066568
203.0_-0.5,0.03136114758081539,0.0018936862213636454,0.051457375648423,0.008196577068746
138.0_-1.5,0.08897401707995271,0.028475460575510852,0.45510996242936597,0.19557893230670387
15.4_-33.1,0.0600608727670714,0.010918978003034744,0.1759880279338248,0.04916212720843304
223.6_2.5,0.056774337927423764,0.011878696120049518,0.16311974732383563,0.04768258469702604
49.9_-33.1,0.02432891717379553,-0.0002353254442811231,0.04519088043075262,0.0012116386328811016
48.2_-32.1,0.052066545326153575,0.009723309755751256,0.1070750330638112,0.02854548919596295
135.4_2.5,0.04311294795862803,0.005747708031751771,0.1029058070530011,0.022224079030531297
179.0_1.5,0.054188310365163306,0.008720124454844906,0.14848778684487438,0.04348211578725497
351.5_-35.1,0.021017453434566853,0.0019330150526123174,0.039805902898125745,0.00346859983985781
182.0_0.5,0.04310338522030648,0.004941066248832002,0.12598120182285744,0.02615559828112878
230.0_0.5,0.029553651624714846,0.0022445361970035525,0.05420982912760303,0.01188054638101866
220.0_0.5,0.03344523216578072,0.0016913283841505657,0.07919284284579436,0.013109192391881325
15.1_-31.2,0.01562156755160614,0.001317038431161084,0.028412785522899487,-0.0015633719026560196
17.8_-33.1,0.046282524141111954,0.006040888597223001,0.09179314622795905,0.018775133263668704
46.8_-34.1,0.034180221444546514,0.0030983022208031295,0.06652250621562394,0.010605637974764425
215.0_0.5,0.023453897220787768,0.003086655485050818,0.04307942195343631,0.003984095860127461
134.0_1.5,0.027545560636197487,-0.0002943437160146471,0.046678647111489016,0.004581461963928065
333.6_-34.1,0.01922968168854971,-0.00012278062199226955,0.028435274974235675,-2.0393228878800765e-05
334.9_-29.2,0.042860663811128186,0.0034502317484983113,0.08327857714364884,0.01891211743302966
335.5_-31.2,0.04732203268602642,0.0058123179759094895,0.11038697590714604,0.02469995992933218
349.7_-29.2,0.025830566390837827,0.0003757136267971634,0.03886338890952851,0.005351666686640533
5.9_-32.1,0.06472407279978887,0.01796254257547397,0.19515991767902466,0.059364208035085346
169.0_-0.5,0.03618990285197086,0.003342384317758502,0.08873698932780147,0.014487702651305544
345.2_-29.2,0.044557995284295646,0.0034087409246112343,0.11414732329201954,0.025414833632127726
159.0_0.5,0.04197456306178902,0.005520642488198699,0.08965259844887019,0.01708108743225558
219.0_-1.5,0.03008773569154393,0.0012557634457246105,0.04883252192069598,0.005131166840667178
184.0_-0.5,0.05845950516302952,0.015548984683447202,0.21539601528611507,0.062201833334720937
220.0_-0.5,0.03446679244376199,0.005161784159236289,0.0806693245172911,0.015541782770350194
355.2_-34.1,0.029106518609367613,0.0026513381823915607,0.053362343968380244,0.008333781433105964
333.9_-33.1,0.0392959936199954,0.0029357839306660806,0.09100196469764096,0.01927922730704248
331.2_-34.1,0.043434731077103036,0.008226810703335726,0.11277635447858711,0.027365888674309585
222.6_-2.5,0.053429240294462915,0.008528977593387402,0.191940213792451,0.05376447472283431
47.4_-35.1,0.06365462988461539,0.016300142937697732,0.22560118782968572,0.0732801444717066
196.0_-0.5,0.06861474762819675,0.016487198963406623,0.265128645233023,0.09164781815003721
45.9_-32.1,0.050734516628871226,0.00750809664097441,0.14689151986908203,0.038174643648252196
181.5_2.5,0.04875188693405939,0.009423691174032129,0.1215232480556081,0.031498650626885887
131.0_-1.5,0.03253959329833136,0.0028067777845050385,0.046767743729016535,0.005602720099223769
9.0_-28.2,0.02404781230471471,-0.0003342784644453199,0.037916101705740855,0.0034709739348470804
1.2_-35.1,0.03809204613874246,0.0054662961172391,0.07757612162784212,0.014401998429368044
177.0_-0.5,0.03524494267116648,0.0037872234187275376,0.0640687519073141,0.01126803166969283
183.0_-1.5,0.05317988211764293,0.009576893367549211,0.14036607780218588,0.029373151724286346
16.8_-34.1,0.022841031642784414,0.001078456501448425,0.03371420144302603,0.001946851600564161
181.0_-0.5,0.02918404560463789,0.00037736748338846113,0.05218122946160982,0.005784431554462271
211.6_-2.5,0.029904057579972963,0.0016690899439686078,0.05298481461756298,0.008492498506961807
49.2_-34.1,0.0762059949221265,0.019364128993141095,0.25604543504947264,0.09353970390309554
350.5_-33.1,0.028842936213816395,0.0002639657634325824,0.04495258814348888,0.006644753954929023
211.0_0.5,0.06075510205524833,0.013021122462761924,0.1756946964596185,0.05709055416683742
