label,dmag_u,dmag_g,dmag_r,dmag_i
183.0_-0.5,-0.00707972606132936,0.03047326451913045,0.03050892613828182,0.06758342397898048
52.4_-31.2,-0.03392147942740989,-0.02727338177437832,0.04286273568868637,0.0723075414988689
354.2_-30.2,-0.1399999026841877,-0.4134451396858167,-0.06930704414844513,0.004686769236171132
356.4_-35.1,-0.0055088167747823,0.02125154849789942,0.01403415948152542,-0.00981356027712979
174.0_-1.5,0.03964222981651611,0.01131241921403955,-0.06614099442958832,-0.04080076364057209
214.6_-2.5,0.0753945059234246,0.07018023989620428,0.01595763117074966,0.05368320167103775
358.8_-30.2,-0.1677716657920596,0.03051752723553227,0.02084041386842728,0.04933308589181411
45.6_-34.1,-0.02491750148417822,-0.05041266407137891,0.006007809191942215,0.03287263055327321
191.0_-0.5,-0.03550746573677538,-0.02633667272506386,-0.06974445283412933,0.008996558003696462
131.0_1.5,0.05243194581753028,0.04183367267777931,0.03051157295703888,0.02447846242051264
17.5_-31.2,-0.1052604088333823,0.003067102836500454,-0.01734592765569687,0.09417805117289481
175.5_-2.5,0.06765962215928481,0.006846990947423363,0.03301966935396194,0.0380364208079975
357.7_-29.2,-0.03094450305831542,-1.6426236818006e-05,0.007508344016969204,0.01830431075238812
347.8_-35.1,-0.0047236569696808,0.01505871097619183,0.03428386524319649,0.0661658755697622
39.2_-33.1,-0.04547789785358514,-0.1423290495719907,0.01249118894338608,0.07490405716140366
228.0_0.5,0.06229361324486341,0.06854745878441497,-0.02759499847888947,-0.07705665394599931
156.0_-0.5,0.1174215563428777,0.0657280018234353,0.02674732357263565,0.06699337655275964
211.0_1.5,0.08464129483470301,0.03481771604090807,0.01532463729381561,0.02187377398186607
337.2_-29.2,-0.0090828080130224,0.04273395119379825,0.009431479498744011,0.06974660681149908
27.6_-30.2,-0.1187989639696659,-0.04808352779612847,-0.01757817342877388,0.01497243852237011
355.4_-30.2,-0.2410151843400865,-0.1285872817450484,0.04474058374762535,0.08104564318300436
238.0_-0.5,0.07043483068453571,0.03942536728922937,0.02012787945568562,0.01166598010937469
336.9_-35.1,-0.0471390830523841,0.008475698172371718,0.05134104937314987,0.04049338239173858
222.0_0.5,-0.01343521595113654,0.03078018344380223,-0.00369853153824806,0.009588688154209535
10.3_-29.2,-0.1507336733220443,0.05831117007507283,0.008122455328702927,0.06919747852567934
345.7_-33.1,-0.021927686831285,0.03978171865580953,0.03570457547903061,0.05148798596924235
215.0_-1.5,0.3677409612769653,0.02664058094335746,0.02262548729777336,0.05297865343090268
341.8_-35.1,-0.06181588109992368,-0.04423829634928131,0.06070086359977722,0.06173859140836203
172.5_-2.5,-0.01908809508236461,0.02378633779063944,0.02565313503146172,0.05388943607638794
345.0_-30.2,0.01623921389093611,0.002826255452430586,0.03896867483854294,0.05129867638548751
32.1_-33.1,-0.1244594925848553,0.01538507935434268,0.03238724172115326,0.02625845679068766
177.5_2.5,-0.05305701886175988,0.005839138198248747,0.007217632606625557,0.4038243932247269
1.2_-33.1,-0.04031909357878757,0.02650440420528617,0.01758604869246483,0.009302787066459131
173.0_0.5,-0.00853867737694179,-0.03379314256860971,0.009470134973526001,0.03978698045216538
217.0_0.5,-0.03125555850697957,0.05191336225986993,0.000170711427927017,0.05915762867952981
47.1_-27.2,-0.0672135092653107,0.0267078135916081,0.0365263931453228,0.06348267760517456
177.0_-1.5,-0.03289371845693485,0.01711415979995411,0.01860731095075607,0.04159560672207784
229.0_0.5,-0.04987387200749711,0.03599257922640448,-0.05782436951994896,0.08193296557979385
336.2_-33.1,-0.02494632853445487,0.06133272846083151,0.02588078007102013,0.03506758540044939
338.6_-33.1,0.031937392796408,0.008141743612002754,0.03036213666200638,0.03668126348639953
233.0_0.5,-0.1190620977893523,0.06918867800221415,0.0377335287630558,0.01901863086994103
238.0_-1.5,0.1096371342611851,0.000577748332915574,0.01387582346796989,0.08402279765199148
13.5_-28.2,-0.0396394298388317,-0.02796847987630235,-0.04377500712871552,0.08165676032365127
31.8_-32.1,-0.1091903052672513,0.03887783983640611,0.0354960560798645,0.01715422196861573
28.8_-30.2,-0.1388593443258907,-0.01359181714414081,0.002339990809559822,0.01524037570865312
1.2_-32.1,-0.0326662044040868,0.04636986583176213,0.04147933423519135,0.01986581190993047
225.0_0.5,-0.00849880548214582,0.7005622215105334,0.01331162825226784,-0.02517041095123807
186.0_-0.5,0.0295829715319277,0.03884646666132153,0.01292316801846027,0.04524199098684744
224.0_-1.5,0.005996457101478184,-0.00617239233290786,0.02150431275367737,0.05454990357057045
22.8_-29.2,-0.1371409833112632,0.03133287567439766,0.04375483840703964,0.01300381638776707
52.9_-30.2,-0.0959292265670387,-0.02325485602463868,0.01853811740875244,0.03398210979111536
51.9_-28.2,-0.0909296255469898,0.03579274155568328,0.01067271456122398,0.05963821492244643
207.0_-0.5,-0.02124196702924306,0.03739244820710803,-0.00139668583869934,0.00798739093476911
47.1_-32.1,-0.00098381998303881,-0.05111463127665684,0.04489614069461823,0.02250147974661923
346.6_-35.1,0.05146709379281608,0.06783291615830285,0.05131214484572411,0.06147375415788713
135.0_0.5,0.03575073639801626,0.02623325555757901,0.0247696116566658,0.1517995431874572
350.8_-30.2,-0.1525591145899541,0.030991679286687,0.3692384362220764,0.03982758186168073
48.5_-28.2,-0.09533967395158291,-0.07101437856233817,0.1193002313375473,0.0419301511766812
133.0_-0.5,0.02830439189080325,0.03577531373610429,0.04253727942705154,0.07236355441743138
10.6_-32.1,-0.1334395090926429,-0.06808759898205563,-0.01148704718798399,0.05308026844066036
51.8_-30.2,-0.1012250363229064,0.04228371677359064,0.01483885571360588,0.1087537092646689
208.0_-0.5,-0.141197090920742,0.06425185671242162,-0.04934068769216537,0.06122406232949709
221.0_-0.5,0.0654423879455225,0.03424273968754597,0.03959172964096069,0.04628569082991033
51.6_-34.1,-0.0346372820772245,0.06619577964470091,0.007051698863506317,0.0566310849643296
331.8_-32.1,0.0876394020869917,0.08422617208544568,0.01149054616689682,0.04603708659878907
168.0_0.5,-0.02193648308389644,0.02769155943663486,0.04760397970676422,0.02177880955083037
206.0_-0.5,-0.04136508419528587,0.03380126094569414,-0.01970170810818672,0.0358283790263979
223.0_-0.5,0.06613333817099709,0.07259642142048983,0.0129438042640686,0.03664346358058401
358.8_-32.1,-0.2852565744974594,-0.01840440987950524,0.02509762346744537,0.0897983670519884
333.5_-30.2,-0.06999666086292744,0.06873457740776269,0.013270303606987,0.02488438484675339
44.9_-27.2,-0.05910189497293297,0.03203149461299382,0.01393453031778336,0.05815923196745939
141.4_2.5,0.1591084491310167,0.05857971627291545,0.02231977507472038,0.03226706511745033
