binZB_id,binSNR_id,binR_id,binZB_min,binZB_max,binSNR_min,binSNR_max,binR_min,binR_max,m1_raw,m1_raw_err,m2_raw,m2_raw_err,c1,c1_err,c2,c2_err,WeiTot,WeiBlend,var_dm1,var_dm2,var_dm1_err,var_dm2_err,PSFmodelling_dm1,PSFmodelling_dm2,PSFmodelling_dm1_err,PSFmodelling_dm2_err,m1_final,m1_final_err,m2_final,m2_final_err
0,1,14,0.100000,0.200000,17.540001,21.270000,0.666092,0.698187,0.136115,0.262846,-0.205224,0.269718,-0.001210,0.007439,-0.013695,0.007633,21812.300095,7544.639895,-1.193524,-1.081182,1.867729,1.728388,0.001524,0.003577,0.001789,0.001845,-0.275188,0.697454,-0.575616,0.655860
0,1,15,0.100000,0.200000,17.540001,21.270000,0.698187,0.730853,-0.100819,0.276042,0.005501,0.271495,0.011319,0.007812,0.005548,0.007683,21759.196587,7236.139020,-1.614121,1.424408,1.950023,1.915236,0.001524,0.003577,0.001789,0.001845,-0.636080,0.704800,0.482773,0.692375
0,1,16,0.100000,0.200000,17.540001,21.270000,0.730853,0.766921,0.337014,0.275552,-0.145408,0.271322,0.005447,0.007798,-0.000570,0.007678,21838.993149,7681.680807,0.299593,-1.437612,1.756591,1.882764,0.001524,0.003577,0.001789,0.001845,0.443917,0.676528,-0.647499,0.715674
0,1,17,0.100000,0.200000,17.540001,21.270000,0.766921,0.804323,0.350021,0.274613,0.721868,0.280259,0.002508,0.007772,0.009817,0.007931,21787.676352,7937.002090,0.057481,0.980808,1.824986,1.792494,0.001524,0.003577,0.001789,0.001845,0.372485,0.719307,1.082742,0.710590
0,1,18,0.100000,0.200000,17.540001,21.270000,0.804323,0.846397,0.434113,0.295319,0.145149,0.296903,0.008927,0.008358,-0.009264,0.008402,21819.401844,7372.744545,-0.510353,-0.345327,1.829774,1.758262,0.001524,0.003577,0.001789,0.001845,0.263189,0.685189,0.032041,0.664174
0,1,19,0.100000,0.200000,17.540001,21.270000,0.846397,999.000000,-0.018080,0.288030,0.099388,0.311681,0.003095,0.008151,0.006939,0.008821,21770.820486,7214.979709,0.727554,-0.256742,1.743875,1.804290,0.001524,0.003577,0.001789,0.001845,0.224560,0.645731,0.017879,0.674311
0,2,0,0.100000,0.200000,21.270000,24.590000,0.000000,0.223255,0.165733,0.178394,0.066545,0.184936,0.008290,0.005049,-0.006927,0.005234,21993.382905,6993.861086,0.059575,0.969280,1.617561,1.669434,0.001524,0.003577,0.001789,0.001845,0.186202,0.544441,0.378352,0.562170
0,2,1,0.100000,0.200000,21.270000,24.590000,0.223255,0.275255,0.096187,0.203140,-0.116652,0.198549,0.003561,0.005749,0.000264,0.005619,21868.871815,7915.959121,-0.522856,0.652596,1.494904,1.583352,0.001524,0.003577,0.001789,0.001845,-0.091549,0.577993,0.123148,0.606552
0,2,2,0.100000,0.200000,21.270000,24.590000,0.275255,0.318041,-0.211636,0.203171,-0.233440,0.203446,-0.002686,0.005750,-0.000219,0.005758,21881.495134,7366.945525,0.198532,-1.913059,1.758175,1.653033,0.001524,0.003577,0.001789,0.001845,-0.143271,0.625833,-0.873942,0.592557
0,2,3,0.100000,0.200000,21.270000,24.590000,0.318041,0.352560,-0.209846,0.223601,-0.171904,0.197723,0.005090,0.006328,0.007643,0.005596,21845.982806,7419.943582,0.248300,0.176704,1.791725,1.730157,0.001524,0.003577,0.001789,0.001845,-0.123987,0.648337,-0.108310,0.620019
